"","iliad.txt","odyssey.txt"
"carey",2,0
"cargo",3,0
"cari",3,0
"caria",1,0
"carian",2,0
"caristo",1,0
"carnag",11,0
"carnarvon",1,0
"carnivor",1,0
"carp",1,0
"carpent",4,0
"carpet",10,0
"carri",89,0
"carv",4,0
"carver",4,0
"casaub",1,0
"case",42,0
"caseharden",1,0
"cask",2,0
"casket",1,0
"casqu",7,0
"cassandra",3,0
"cast",68,0
"castianira",1,0
"castor",6,0
"casual",1,0
"casus",1,0
"catalogu",9,0
"cataract",1,0
"catch",22,0
"catchd",1,0
"cathol",1,0
"cattl",33,0
"cattlelift",2,0
"caucan",1,0
"caucon",1,0
"cauconian",1,0
"caught",32,0
"caughtnot",1,0
"caul",3,0
"cauldron",11,0
"caus",98,0
"caution",4,0
"cautious",4,0
"cavalca",1,0
"cavalier",1,0
"cave",54,0
"cavern",7,0
"cavernd",2,0
"caveso",1,0
"cavethi",1,0
